iter	Passed	Remaining
1028	4970	3656
1029	4975	3651
1030	4979	3646
1031	4983	3641
1032	4988	3636
1033	4992	3630
1034	4996	3625
1035	5001	3620
1036	5006	3615
1037	5010	3610
1038	5014	3605
1039	5020	3601
1040	5029	3599
1041	5036	3596
1042	5043	3593
1043	5051	3590
1044	5058	3587
1045	5066	3584
1046	5070	3579
1047	5077	3575
1048	5082	3570
1049	5086	3565
1050	5091	3560
1051	5095	3555
1052	5100	3550
1053	5104	3545
1054	5109	3540
1055	5113	3535
1056	5118	3530
1057	5122	3524
1058	5127	3519
1059	5132	3515
1060	5136	3510
1061	5141	3505
1062	5146	3500
1063	5150	3495
1064	5154	3489
1065	5159	3484
1066	5163	3479
1067	5167	3474
1068	5172	3469
1069	5176	3464
1070	5181	3459
1071	5186	3454
1072	5192	3450
1073	5196	3445
1074	5201	3440
1075	5205	3435
1076	5210	3429
1077	5214	3424
1078	5219	3419
1079	5223	3414
1080	5227	3409
1081	5232	3404
1082	5237	3399
1083	5241	3394
1084	5246	3389
1085	5250	3384
1086	5254	3379
1087	5259	3374
1088	5264	3369
1089	5271	3365
1090	5275	3360
1091	5280	3355
1092	5284	3350
1093	5288	3345
1094	5293	3340
1095	5298	3335
1096	5307	3333
1097	5314	3330
1098	5321	3326
1099	5328	3323
1100	5336	3320
1101	5342	3316
1102	5347	3311
1103	5352	3306
1104	5356	3301
1105	5361	3296
1106	5367	3292
1107	5372	3287
1108	5376	3282
1109	5381	3277
1110	5386	3272
1111	5391	3267
1112	5395	3262
1113	5400	3257
1114	5404	3252
1115	5409	3247
1116	5413	3242
1117	5418	3237
1118	5422	3232
1119	5427	3227
1120	5432	3222
1121	5438	3218
1122	5445	3215
1123	5450	3210
1124	5455	3205
1125	5459	3200
1126	5464	3195
1127	5468	3189
1128	5472	3184
1129	5477	3179
1130	5481	3174
1131	5486	3169
1132	5490	3164
1133	5496	3160
1134	5500	3154
1135	5505	3150
1136	5509	3145
1137	5515	3140
1138	5522	3137
1139	5526	3131
1140	5530	3126
1141	5535	3121
1142	5539	3116
1143	5544	3111
1144	5548	3106
1145	5553	3101
1146	5559	3097
1147	5566	3093
1148	5570	3088
1149	5575	3083
1150	5580	3078
1151	5585	3073
1152	5589	3068
1153	5594	3063
1154	5599	3058
1155	5604	3054
1156	5608	3049
1157	5615	3045
1158	5619	3040
1159	5623	3035
1160	5628	3029
1161	5632	3024
1162	5637	3019
1163	5641	3014
1164	5645	3009
1165	5649	3004
1166	5653	2998
1167	5657	2993
1168	5662	2988
1169	5669	2984
1170	5673	2979
1171	5678	2974
1172	5682	2969
1173	5686	2964
1174	5691	2959
1175	5695	2954
1176	5699	2948
1177	5703	2943
1178	5708	2938
1179	5712	2933
1180	5716	2928
1181	5721	2923
1182	5725	2918
1183	5729	2913
1184	5734	2908
1185	5738	2903
1186	5743	2898
1187	5747	2893
1188	5752	2888
1189	5756	2882
1190	5760	2877
1191	5764	2872
1192	5770	2868
1193	5774	2863
1194	5779	2858
1195	5784	2853
1196	5788	2848
1197	5799	2846
1198	5803	2841
1199	5810	2837
1200	5814	2832
1201	5818	2827
1202	5823	2822
1203	5827	2816
1204	5832	2811
1205	5836	2806
1206	5840	2801
1207	5845	2797
1208	5851	2792
1209	5856	2788
1210	5861	2783
1211	5865	2777
1212	5869	2772
1213	5873	2767
1214	5878	2762
1215	5882	2757
1216	5887	2752
1217	5891	2747
1218	5896	2742
1219	5900	2737
1220	5904	2732
1221	5909	2727
1222	5913	2722
1223	5918	2717
1224	5922	2712
1225	5926	2707
1226	5931	2702
1227	5935	2696
1228	5939	2691
1229	5943	2686
1230	5948	2681
1231	5952	2676
1232	5957	2671
1233	5961	2666
1234	5966	2662
1235	5970	2656
1236	5975	2651
1237	5979	2646
1238	5984	2641
1239	5989	2637
1240	5993	2632
1241	5998	2627
1242	6003	2622
1243	6009	2618
1244	6013	2613
1245	6019	2608
1246	6024	2603
1247	6028	2598
1248	6032	2593
1249	6040	2590
1250	6045	2585
1251	6054	2582
1252	6061	2578
1253	6067	2573
1254	6071	2568
1255	6076	2564
1256	6080	2559
1257	6085	2554
1258	6090	2549
1259	6095	2544
1260	6099	2539
1261	6104	2534
1262	6109	2529
1263	6114	2525
1264	6118	2520
1265	6123	2515
1266	6127	2510
1267	6131	2504
1268	6136	2499
1269	6140	2494
1270	6144	2489
1271	6149	2484
1272	6153	2479
1273	6157	2474
1274	6162	2469
1275	6167	2464
1276	6172	2460
1277	6177	2455
1278	6183	2451
1279	6188	2446
1280	6194	2441
1281	6199	2437
1282	6204	2432
1283	6208	2427
1284	6212	2422
1285	6219	2418
1286	6226	2414
1287	6231	2409
1288	6236	2404
1289	6240	2399
1290	6245	2394
1291	6249	2389
1292	6253	2384
1293	6257	2379
1294	6262	2374
1295	6266	2369
1296	6271	2364
1297	6280	2361
1298	6288	2357
1299	6298	2354
1300	6309	2352
